1.016257 -0.191530 0.000000	-0.907635 0.290433 0.000000	-0.108622 -0.098903 0.000000	
1.016469 -0.191244 0.000000	-0.907247 0.290672 0.000000	-0.109221 -0.099429 0.000000	
1.016680 -0.190957 0.000000	-0.906859 0.290911 0.000000	-0.109821 -0.099954 0.000000	
1.016890 -0.190670 0.000000	-0.906470 0.291150 0.000000	-0.110420 -0.100480 0.000000	
1.017100 -0.190383 0.000000	-0.906080 0.291388 0.000000	-0.111020 -0.101005 0.000000	
1.017310 -0.190097 0.000000	-0.905690 0.291626 0.000000	-0.111620 -0.101530 0.000000	
1.017520 -0.189810 0.000000	-0.905300 0.291864 0.000000	-0.112220 -0.102054 0.000000	
1.017729 -0.189523 0.000000	-0.904909 0.292101 0.000000	-0.112820 -0.102579 0.000000	
1.017937 -0.189236 0.000000	-0.904517 0.292339 0.000000	-0.113420 -0.103103 0.000000	
1.018145 -0.188949 0.000000	-0.904125 0.292576 0.000000	-0.114020 -0.103627 0.000000	
1.018353 -0.188662 0.000000	-0.903732 0.292813 0.000000	-0.114621 -0.104151 0.000000	
1.018561 -0.188375 0.000000	-0.903339 0.293049 0.000000	-0.115222 -0.104675 0.000000	
1.018767 -0.188087 0.000000	-0.902945 0.293286 0.000000	-0.115822 -0.105198 0.000000	
1.018974 -0.187800 0.000000	-0.902551 0.293522 0.000000	-0.116423 -0.105722 0.000000	
1.019180 -0.187513 0.000000	-0.902156 0.293758 0.000000	-0.117025 -0.106245 0.000000	
1.019386 -0.187226 0.000000	-0.901760 0.293993 0.000000	-0.117626 -0.106767 0.000000	
1.019591 -0.186938 0.000000	-0.901364 0.294228 0.000000	-0.118227 -0.107290 0.000000	
1.019796 -0.186651 0.000000	-0.900968 0.294464 0.000000	-0.118829 -0.107813 0.000000	
1.020001 -0.186364 0.000000	-0.900570 0.294698 0.000000	-0.119431 -0.108335 0.000000	
1.020205 -0.186076 0.000000	-0.900173 0.294933 0.000000	-0.120032 -0.108857 0.000000	
1.020409 -0.185789 0.000000	-0.899774 0.295167 0.000000	-0.120634 -0.109379 0.000000	
1.020612 -0.185501 0.000000	-0.899376 0.295401 0.000000	-0.121237 -0.109900 0.000000	
1.020815 -0.185213 0.000000	-0.898976 0.295635 0.000000	-0.121839 -0.110422 0.000000	
1.021018 -0.184926 0.000000	-0.898576 0.295868 0.000000	-0.122441 -0.110943 0.000000	
1.021220 -0.184638 0.000000	-0.898176 0.296102 0.000000	-0.123044 -0.111464 0.000000	
1.021422 -0.184350 0.000000	-0.897775 0.296335 0.000000	-0.123647 -0.111984 0.000000	
1.021623 -0.184062 0.000000	-0.897373 0.296567 0.000000	-0.124250 -0.112505 0.000000	
1.021824 -0.183775 0.000000	-0.896971 0.296800 0.000000	-0.124853 -0.113025 0.000000	
1.022025 -0.183487 0.000000	-0.896569 0.297032 0.000000	-0.125456 -0.113545 0.000000	
1.022225 -0.183199 0.000000	-0.896165 0.297264 0.000000	-0.126060 -0.114065 0.000000	
1.022425 -0.182911 0.000000	-0.895762 0.297495 0.000000	-0.126663 -0.114585 0.000000	
1.022624 -0.182623 0.000000	-0.895357 0.297727 0.000000	-0.127267 -0.115104 0.000000	
1.022823 -0.182335 0.000000	-0.894952 0.297958 0.000000	-0.127871 -0.115623 0.000000	
1.023022 -0.182047 0.000000	-0.894547 0.298189 0.000000	-0.128475 -0.116142 0.000000	
1.023220 -0.181759 0.000000	-0.894141 0.298419 0.000000	-0.129079 -0.116661 0.000000	
1.023418 -0.181470 0.000000	-0.893734 0.298650 0.000000	-0.129683 -0.117179 0.000000	
1.023615 -0.181182 0.000000	-0.893327 0.298880 0.000000	-0.130288 -0.117697 0.000000	
1.023812 -0.180894 0.000000	-0.892920 0.299109 0.000000	-0.130893 -0.118215 0.000000	
1.024009 -0.180606 0.000000	-0.892511 0.299339 0.000000	-0.131498 -0.118733 0.000000	
1.024205 -0.180317 0.000000	-0.892103 0.299568 0.000000	-0.132103 -0.119251 0.000000	
1.024401 -0.180029 0.000000	-0.891693 0.299797 0.000000	-0.132708 -0.119768 0.000000	
1.024597 -0.179741 0.000000	-0.891283 0.300025 0.000000	-0.133313 -0.120285 0.000000	
1.024792 -0.179452 0.000000	-0.890873 0.300254 0.000000	-0.133919 -0.120802 0.000000	
1.024986 -0.179164 0.000000	-0.890462 0.300482 0.000000	-0.134525 -0.121318 0.000000	
1.025181 -0.178875 0.000000	-0.890050 0.300710 0.000000	-0.135130 -0.121835 0.000000	
1.025375 -0.178587 0.000000	-0.889638 0.300937 0.000000	-0.135736 -0.122351 0.000000	
1.025568 -0.178298 0.000000	-0.889225 0.301164 0.000000	-0.136343 -0.122866 0.000000	
1.025761 -0.178009 0.000000	-0.888812 0.301391 0.000000	-0.136949 -0.123382 0.000000	
1.025954 -0.177721 0.000000	-0.888398 0.301618 0.000000	-0.137556 -0.123897 0.000000	
1.026146 -0.177432 0.000000	-0.887984 0.301844 0.000000	-0.138162 -0.124412 0.000000	
1.026338 -0.177143 0.000000	-0.887569 0.302070 0.000000	-0.138769 -0.124927 0.000000	
1.026530 -0.176854 0.000000	-0.887154 0.302296 0.000000	-0.139376 -0.125442 0.000000	
1.026721 -0.176566 0.000000	-0.886737 0.302522 0.000000	-0.139983 -0.125956 0.000000	
1.026912 -0.176277 0.000000	-0.886321 0.302747 0.000000	-0.140591 -0.126470 0.000000	
1.027102 -0.175988 0.000000	-0.885904 0.302972 0.000000	-0.141198 -0.126984 0.000000	
1.027292 -0.175699 0.000000	-0.885486 0.303196 0.000000	-0.141806 -0.127498 0.000000	
1.027482 -0.175410 0.000000	-0.885068 0.303421 0.000000	-0.142414 -0.128011 0.000000	
1.027671 -0.175121 0.000000	-0.884649 0.303645 0.000000	-0.143022 -0.128524 0.000000	
1.027860 -0.174832 0.000000	-0.884229 0.303869 0.000000	-0.143631 -0.129037 0.000000	
1.028048 -0.174543 0.000000	-0.883809 0.304092 0.000000	-0.144239 -0.129549 0.000000	
1.028237 -0.174254 0.000000	-0.883389 0.304315 0.000000	-0.144848 -0.130062 0.000000	
1.028424 -0.173964 0.000000	-0.882968 0.304538 0.000000	-0.145456 -0.130574 0.000000	
1.028612 -0.173675 0.000000	-0.882546 0.304761 0.000000	-0.146065 -0.131085 0.000000	
